"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48412","every sampled result respects the searched guest count on its own detail page","firesky-chromium","2026-08-20","passed","2026-08-20","TC6 (Bonus) - Guest capacity consistency","","",""
"","35584","[INTENTIONAL FAILURE] homepage heading does not really say this","firesky-chromium","2026-08-20","failed","2026-08-20","Demo - intentional failure (diagnostics showcase)","","",""
"","49954","every sampled result respects the searched guest count on its own detail page","alice-chromium","2026-08-20","passed","2026-08-20","TC6 (Bonus) - Guest capacity consistency","","",""
"","22973","footer social links are discovered dynamically and each points to a live, well-formed destination","firesky-chromium","2026-08-20","passed","2026-08-20","TC1 - Social media links","","",""
"","46186","destination/category navigation is populated, responds to interaction, and leads to a real property","alice-chromium","2026-08-20","passed","2026-08-20","TC4 - Navigation","","",""
"","46528","dynamic search, filters, and sort all take effect and stay consistent with each other","firesky-chromium","2026-08-20","passed","2026-08-20","TC2 - Search, filtering, and sorting","","",""
"","45075","destination/category navigation is populated, responds to interaction, and leads to a real property","firesky-chromium","2026-08-20","passed","2026-08-20","TC4 - Navigation","","",""
"","35204","footer social links are discovered dynamically and each points to a live, well-formed destination","alice-chromium","2026-08-20","passed","2026-08-20","TC1 - Social media links","","",""
"","61236","a property opened from filtered results matches the search criteria used to find it","alice-chromium","2026-08-20","passed","2026-08-20","TC3 - Property details validation","","",""
"","39599","a property opened from filtered results matches the search criteria used to find it","firesky-chromium","2026-08-20","passed","2026-08-20","TC3 - Property details validation","","",""
"","25138","invalid contact details are rejected with field-level validation messages","firesky-chromium","2026-08-20","passed","2026-08-20","TC5 - Form validation","","",""
"","61585","dynamic search, filters, and sort all take effect and stay consistent with each other","alice-chromium","2026-08-20","passed","2026-08-20","TC2 - Search, filtering, and sorting","","",""
"","20333","invalid contact details are rejected with field-level validation messages","alice-chromium","2026-08-20","passed","2026-08-20","TC5 - Form validation","","",""
"","56761","[INTENTIONAL FAILURE] homepage heading does not really say this","alice-chromium","2026-08-20","failed","2026-08-20","Demo - intentional failure (diagnostics showcase)","","",""
